graph_id,vertices,edges,prim_cost,kruskal_cost,prim_ops,kruskal_ops,prim_ms,kruskal_ms
1,16,91,164,164,329,554,7.979,3.127
2,22,104,229,229,371,656,0.262,0.195
3,14,51,226,226,182,269,0.132,0.072
4,28,178,265,265,666,1261,0.451,0.298
5,22,229,171,171,781,1625,0.451,0.368
6,103,856,539,539,3116,7941,1.846,1.375
7,291,514,9560,9560,3070,5884,2.319,0.960
8,224,585,4752,4752,2933,6077,2.213,1.047
9,175,756,2648,2648,3537,7722,3.191,1.260
10,145,675,1735,1735,3232,6854,2.483,1.264
11,153,935,1519,1519,4103,9475,1.016,1.189
12,256,592,6791,6791,3457,6691,0.787,0.730
13,280,905,5464,5464,4867,10220,0.978,0.954
14,129,954,1153,1153,3817,9344,0.817,0.809
15,227,676,4781,4781,3597,7328,0.783,0.583
16,971,2329,24035,24035,13717,30398,2.747,1.791
17,655,1344,19165,19165,8052,16944,1.479,0.896
18,358,1276,5959,5959,6954,15115,1.137,0.713
19,522,1194,13627,13627,6978,14726,1.080,0.678
20,526,539,26282,26282,3229,6019,0.648,0.434
21,782,1630,22820,22820,9748,20884,1.778,1.009
22,471,2412,5597,5597,11516,28091,2.187,1.520
23,758,1740,20566,20566,10303,22319,1.622,1.025
24,881,2331,19441,19441,13637,30055,2.459,1.440
25,805,2019,19508,19508,11721,25604,2.131,1.324
26,2631,4265,91870,91870,25575,58152,2.480,2.705
27,2651,4263,93232,93232,25505,58409,2.679,3.610
28,1225,3251,27652,27652,19434,43268,1.466,2.324
29,2286,2953,94534,94534,17696,39728,1.441,2.217
30,1908,4230,51212,51212,25347,57204,2.357,3.245
